ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,TotalChildren,TotalSpend,TotalPurchases,TotalCampaignsAccepted,Tenure_Days,Income_Per_Person,Spend_to_Income_Ratio,IsParent,AvgPurchaseValue
5524,1957,Graduation,Single,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,67,0,1617,22,0,4302,58138.0,0.027812655876434063,0,70.30434782608695
2174,1954,Graduation,Single,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,70,2,27,4,0,3752,15448.0,0.0005825871183514943,1,5.4
4141,1965,Graduation,Together,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,59,0,776,20,0,3951,71613.0,0.010835870081269025,0,36.95238095238095
6182,1984,Graduation,Together,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,40,1,53,6,0,3778,13323.0,0.0019889668630615077,1,7.571428571428571
5324,1981,PhD,Married,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,43,1,422,14,0,3800,29146.5,0.007239166981164442,1,28.133333333333333
7446,1967,Master,Together,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,57,1,716,20,0,3932,31256.5,0.011453434430687526,1,34.095238095238095
965,1971,Graduation,Divorced,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,53,1,590,17,0,4232,27817.5,0.010604644474800489,1,32.77777777777778
6177,1985,PhD,Married,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,39,1,169,8,0,4056,16727.0,0.005051561799432073,1,18.77777777777778
4855,1974,PhD,Together,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,50,1,46,5,0,4027,15175.5,0.0015155508697944123,1,7.666666666666667
5899,1950,PhD,Together,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,74,2,49,1,1,3747,1882.6666666666667,0.008674101610904586,1,24.5
1994,1983,Graduation,Married,51983.0,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,41,1,19,3,0,3865,25991.5,0.0003654970760233918,1,4.75
387,1976,Basic,Married,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,48,0,61,5,0,4232,7500.0,0.008132249033462205,0,10.166666666666666
2125,1959,Graduation,Divorced,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,65,0,1102,15,0,3865,63033.0,0.017482628422755973,0,68.875
8180,1952,Master,Divorced,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,72,2,310,12,0,3865,19784.666666666668,0.005222811894532896,1,23.846153846153847
2569,1987,Graduation,Married,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,37,0,46,4,0,4266,17323.0,0.0026552759178018934,0,9.2
